transporter_id,vehicle_type,cost_per_km,rating,distance,availability,delivery_time,capacity,cost_per_km_norm,rating_norm,distance_norm,delivery_time_norm,capacity_norm,vehicle_type_num,score
8adc0d0b-7c96-4e4c-b259-547dba3cd507,Bike,118,4.44377714407335,38,1,4,206,0.4563758389261745,0.7220583319707486,0.3146067415730337,0.75,0.34743875278396436,0,0.6758511342412522
2abd3f06-3736-4a22-85b5-c7248e23e061,Bike,189,3.552652894323624,53,1,2,122,0.9328859060402684,0.2763181064537162,0.48314606741573035,0.25,0.1603563474387528,0,0.6725550687074481
fe202b50-83ef-459f-8742-ea084bc99a7d,Van,102,3.6477332491458014,18,0,4,86,0.348993288590604,0.32387728668316185,0.0898876404494382,0.75,0.0801781737193764,1,0.41335431393894434
4c1311b9-041b-4c0b-a679-65f0efe49f48,Van,167,3.3291948503806044,20,0,1,376,0.785234899328859,0.16454442401972258,0.11235955056179775,0.0,0.7260579064587973,1,0.5774379247831124
a201c750-d1ed-436a-8e7d-2b52c05add33,Bike,178,4.098802787063077,74,1,3,89,0.8590604026845637,0.5495022066778519,0.7191011235955056,0.5,0.08685968819599109,0,0.7214724816715675
6af588bb-708d-45d9-a934-465944c41ffb,Truck,156,3.827314437108383,42,0,3,403,0.7114093959731543,0.4137037718714384,0.3595505617977528,0.5,0.7861915367483296,2,0.8681012783034456
6cc059f6-010b-4923-a3a2-d9974cc575a5,Bike,153,4.9859933784040535,51,0,5,329,0.6912751677852349,0.9932748168071143,0.4606741573033708,1.0,0.621380846325167,0,0.5621535994627463
3fdead20-0d1f-43dd-bd56-8120b6515ad5,Bike,78,3.6699102290358487,30,0,2,359,0.18791946308724833,0.3349702089330643,0.2247191011235955,0.25,0.688195991091314,0,0.2748365054423941
b8d6427b-faf5-4b90-be36-26736745d218,Van,106,4.897542950484152,83,1,1,383,0.37583892617449666,0.9490319250900864,0.8202247191011236,0.0,0.7416481069042317,1,0.9666666135980958
f494c42b-8958-454b-97bb-67372ab4083b,Van,114,4.30388528751618,10,1,1,191,0.42953020134228187,0.6520844448194318,0.0,0.0,0.31403118040089084,1,0.7680014531386634
84a50902-8237-43cf-97ce-65452ae44736,Bike,93,4.290269043515167,31,1,1,151,0.28859060402684567,0.6452736014680012,0.23595505617977527,0.0,0.22494432071269488,0,0.5375230609874281
ddd5bf3a-c0d8-41b0-b4e1-6f7b06390f40,Truck,155,4.034890235508981,62,0,1,493,0.7046979865771812,0.5175331572988313,0.5842696629213483,0.0,0.9866369710467706,2,0.9095588307406091
f791fd9a-39e2-401e-ad2c-74961907a24a,Truck,151,3.4720612075387325,24,0,4,159,0.6778523489932886,0.2360061559570433,0.15730337078651685,0.75,0.24276169265033407,2,0.7216466862505971
7af96e0f-c526-41a3-972a-46cb48bcdf10,Van,125,3.5214278654135347,41,0,5,150,0.5033557046979866,0.26069935134513494,0.34831460674157305,1.0,0.22271714922049,1,0.5143187193945222
72471b02-f221-4524-8010-94319f3db0f9,Bike,59,4.852782274805824,67,0,3,194,0.06040268456375839,0.9266426413546742,0.6404494382022472,0.5,0.3207126948775056,0,0.31728455013986656
ce9da709-f621-4aaa-aebf-7a9cf5c1be81,Van,62,3.1195915427515075,45,1,3,438,0.08053691275167785,0.059700878758835285,0.39325842696629215,0.5,0.8641425389755011,1,0.7762437104934743
55b1518b-b898-43f7-b550-7c3fb3ef7425,Van,191,4.993221007242619,58,0,5,107,0.9463087248322147,0.9968900757447544,0.5393258426966292,1.0,0.12694877505567928,1,0.7354330318505656
9d653b98-c3b5-425d-b5f1-99dbcdde8735,Bike,67,4.275003307525939,10,1,5,182,0.11409395973154363,0.637637682453977,0.0,1.0,0.29398663697104677,0,0.5529664696951918
eed39f52-25f1-40cd-857e-cee4c1cc20d1,Truck,113,3.398855008691493,40,0,4,254,0.4228187919463087,0.1993884254973709,0.33707865168539325,0.75,0.45434298440979953,2,0.7126894238616821
32d5ebd5-e615-4df0-a166-90c25479387f,Truck,64,4.999438370540983,30,0,3,99,0.09395973154362416,1.0,0.2247191011235955,0.5,0.1091314031180401,2,0.6527881236218737
bb23c4d3-00a6-4e4b-86e4-6aa9f1058257,Truck,143,4.800887719275352,28,1,5,135,0.6241610738255033,0.900684991911563,0.20224719101123595,1.0,0.18930957683741648,2,1.1192296517117173
55fdbc15-8683-4835-8eb8-b03c100ba1dc,Truck,54,3.9574904456075153,99,0,4,340,0.026845637583892617,0.47881779317835116,1.0,0.75,0.6458797327394209,2,0.7602100249206101
f85f2af9-81db-46bd-b950-fb7529ce8545,Bike,175,4.433787520926759,32,1,5,102,0.8389261744966443,0.71706152386521,0.24719101123595505,1.0,0.11581291759465479,0,0.7351724568464691
1ebce746-d32f-4084-ae4b-16295caab860,Van,157,4.138211398889094,36,1,1,342,0.7181208053691275,0.569214388820326,0.29213483146067415,0.0,0.6503340757238307,1,0.9241926579561643
398a31e5-c884-4435-9f70-e7da535990af,Van,70,4.981979285165293,75,0,1,262,0.1342281879194631,0.9912669679285836,0.7303370786516854,0.0,0.47216035634743875,1,0.5497128713038096
579a01b8-3c37-46af-811b-af5b260e9c47,Bike,98,3.9581080553980548,53,0,5,308,0.3221476510067114,0.4791267215094946,0.48314606741573035,1.0,0.5746102449888641,0,0.38564257671744784
c4c38b67-6307-4a97-b2a1-1a0acf7e59b2,Van,199,3.957816500665225,84,0,4,460,1.0,0.478980885872771,0.8314606741573034,0.75,0.9131403118040089,1,0.8401212626574478
6dd3f7d0-808e-44e3-9e21-e0b744be927e,Bike,154,3.0559934621434115,48,0,2,250,0.697986577181208,0.027889127703171836,0.42696629213483145,0.25,0.44543429844098,0,0.32796350235245697
4d8fd3d6-15e1-4a83-969b-243670f6941a,Van,118,3.635558015989189,73,1,4,429,0.4563758389261745,0.3177872367552477,0.7078651685393258,0.75,0.844097995545657,1,0.9538681612078947
95c0c0a8-e3b8-41c2-a7c9-6d8fc0eafaad,Bike,195,4.387860855257948,72,0,5,393,0.9731543624161074,0.6940890120990779,0.6966292134831461,1.0,0.7639198218262806,0,0.6398488281324594
f00c6e1d-9e5c-4746-908c-01a537928584,Bike,92,3.37114081032888,29,0,2,454,0.28187919463087246,0.18552578733928649,0.21348314606741572,0.25,0.8997772828507795,0,0.3171024379355085
6bc934fc-91b3-49b9-8677-9965c43bba90,Van,121,4.015500833268049,69,0,1,195,0.47651006711409394,0.5078345810004745,0.6629213483146067,0.0,0.32293986636971045,1,0.5261828120339974
3fce49d5-d04e-4fab-a671-cc6e245e526f,Truck,99,3.223372784282159,33,1,2,336,0.3288590604026846,0.11161224130710211,0.25842696629213485,0.25,0.6369710467706013,2,0.9696935072800702
24f72dd9-f36c-4a3b-8960-6a063f286181,Van,160,4.209849700182932,65,1,5,450,0.738255033557047,0.6050478571423256,0.6179775280898876,1.0,0.89086859688196,1,1.0852924091459915
735d5551-ed1a-4fb7-886c-512434de1ccc,Bike,189,4.233210031997829,18,1,4,103,0.9328859060402684,0.6167326918600984,0.0898876404494382,0.75,0.11804008908685969,0,0.7108281621513977
32599ef5-dd2f-4b36-b06c-74e62c3ec4b8,Van,167,3.969537674909545,66,1,5,398,0.785234899328859,0.48484381559604467,0.6292134831460674,1.0,0.7750556792873051,1,1.0569677813436893
